,id,gene_short_name,num_cells_expressed,use_for_ordering
ENSMUSG00000032392,ENSMUSG00000032392,Parp16,2936,FALSE
ENSMUSG00000042254,ENSMUSG00000042254,Cilp,109,FALSE
ENSMUSG00000015357,ENSMUSG00000015357,Clpx,14277,FALSE
ENSMUSG00000041837,ENSMUSG00000041837,Pdcd7,9083,FALSE
ENSMUSG00000086228,ENSMUSG00000086228,Ubap1l,1234,FALSE
ENSMUSG00000054978,ENSMUSG00000054978,Kbtbd13,289,FALSE
ENSMUSG00000041696,ENSMUSG00000041696,Rasl12,182,FALSE
ENSMUSG00000053862,ENSMUSG00000053862,Slc51b,15,FALSE
ENSMUSG00000059183,ENSMUSG00000059183,Mtfmt,8383,FALSE
ENSMUSG00000032388,ENSMUSG00000032388,Spg21,25881,FALSE
ENSMUSG00000066510,ENSMUSG00000066510,Ankdd1a,7,FALSE
ENSMUSG00000050721,ENSMUSG00000050721,Plekho2,7307,FALSE
ENSMUSG00000041064,ENSMUSG00000041064,Pif1,2092,FALSE
ENSMUSG00000032387,ENSMUSG00000032387,Rbpms2,15007,TRUE
ENSMUSG00000040652,ENSMUSG00000040652,Oaz2,28529,FALSE
ENSMUSG00000040524,ENSMUSG00000040524,Zfp609,7189,FALSE
ENSMUSG00000032386,ENSMUSG00000032386,Trip4,12904,FALSE
ENSMUSG00000040204,ENSMUSG00000040204,2810417H13Rik,5863,FALSE
ENSMUSG00000032384,ENSMUSG00000032384,Csnk1g1,15706,FALSE
ENSMUSG00000032383,ENSMUSG00000032383,Ppib,35776,FALSE
ENSMUSG00000039452,ENSMUSG00000039452,Snx22,2670,FALSE
ENSMUSG00000032382,ENSMUSG00000032382,Snx1,17811,TRUE
ENSMUSG00000032381,ENSMUSG00000032381,Fam96a,31649,FALSE
ENSMUSG00000032380,ENSMUSG00000032380,Dapk2,2388,FALSE
ENSMUSG00000038664,ENSMUSG00000038664,Herc1,17543,FALSE
ENSMUSG00000100130,ENSMUSG00000100130,Gm28379,37,FALSE
ENSMUSG00000050503,ENSMUSG00000050503,Fbxl22,588,FALSE
ENSMUSG00000032376,ENSMUSG00000032376,Usp3,15623,FALSE
ENSMUSG00000086387,ENSMUSG00000086387,Gm15563,7,FALSE
ENSMUSG00000032373,ENSMUSG00000032373,Car12,2218,FALSE
ENSMUSG00000032375,ENSMUSG00000032375,Aph1b,5564,FALSE
ENSMUSG00000074232,ENSMUSG00000074232,Gm10647,46,FALSE
ENSMUSG00000092131,ENSMUSG00000092131,BC050972,4,FALSE
ENSMUSG00000053040,ENSMUSG00000053040,Aph1c,1806,FALSE
ENSMUSG00000091745,ENSMUSG00000091745,Gm17098,3,FALSE
ENSMUSG00000036943,ENSMUSG00000036943,Rab8b,4618,FALSE
ENSMUSG00000036781,ENSMUSG00000036781,Rps27l,36105,FALSE
ENSMUSG00000032370,ENSMUSG00000032370,Lactb,10155,FALSE
ENSMUSG00000032366,ENSMUSG00000032366,Tpm1,33640,TRUE
ENSMUSG00000052698,ENSMUSG00000052698,Tln2,13267,FALSE
